Name,Type
New Year's Day,Restricted Holiday
Guru Govind Singh Jayanti,Restricted Holiday
Pongal,Restricted Holiday
Republic Day,Gazetted Holiday
Chinese New Year,Observance
Vasant Panchami,Restricted Holiday
Valentine's Day,Observance
Milad un-Nabi/Id-e-Milad,Gazetted Holiday
Guru Ravidas Jayanti,Restricted Holiday
Shivaji Jayanti,Restricted Holiday
Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
Maha Shivaratri/Shivaratri,Gazetted Holiday
Holika Dahana,Restricted Holiday
March Equinox,Season
Holi,Restricted Holiday
Chaitra Sukhladi,Restricted Holiday
Rama Navami,Gazetted Holiday
Vaisakhi,Restricted Holiday
Ambedkar Jayanti,Observance
Mahavir Jayanti,Gazetted Holiday
First day of Passover,Observance
Maundy Thursday,"Observance, Christian"
Good Friday,Gazetted Holiday
Easter Day,Restricted Holiday
May Day,Observance
Mother's Day,Observance
Birthday of Ravindranath,Restricted Holiday
Buddha Purnima/Vesak,Gazetted Holiday
Hazarat Ali's Birthday,Restricted Holiday
Father's Day,Observance
June Solstice,Season
Rath Yatra,Restricted Holiday
Guru Purnima,Observance
Friendship Day,Observance
Raksha Bandhan (Rakhi),Restricted Holiday
Independence Day,Gazetted Holiday
Parsi New Year,Restricted Holiday
Janmashtami,Gazetted Holiday
Jamat Ul-Vida,Restricted Holiday
Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
Onam,Restricted Holiday
September Equinox,Season
Mahatma Gandhi Jayanti,Gazetted Holiday
Maha Saptami,Restricted Holiday
Maha Ashtami,Restricted Holiday
Dussehra,Gazetted Holiday
Maharishi Valmiki Jayanti,Restricted Holiday
Diwali/Deepavali,Gazetted Holiday
Govardhan Puja,Restricted Holiday
Bhai Duj,Restricted Holiday
Halloween,Observance
Bakr Id/Eid ul-Adha,Gazetted Holiday
Guru Nanak Jayanti,Gazetted Holiday
Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
Muharram/Ashura,Gazetted Holiday
First Day of Hanukkah,Observance
December Solstice,Season
Christmas Eve,Restricted Holiday
Christmas,Gazetted Holiday
Last day of Hanukkah,Observance
New Year's Eve,Observance
Makar Sankranti,Restricted Holiday
Mesadi/Vaisakhadi,Restricted Holiday
Karaka Chaturthi (Karva Chauth),Restricted Holiday
Naraka Chaturdasi,Restricted Holiday
Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
Maha Navami,Restricted Holiday
